# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 55, mean observations per image: 0
1 0.3309025511 0.4314997529 0.666972556 -0.509371254 0.5104158689 -0.03813759222 1.141193632 1 back_fisheye_image/00000.jpg

2 -0.5533745418 -0.0301839034 0.8250736312 -0.110086564 0.9901152963 -0.4050588119 -1.67338798 2 frontleft_fisheye_image/00000.jpg

3 -0.4550453271 -0.3173507753 0.7611583316 0.3359467666 0.9896738904 1.374213186 -1.076967841 3 frontright_fisheye_image/00000.jpg

4 0.6006098863 0.7709772081 0.1687907569 -0.1279515117 -1.442699536 0.1630253422 0.5014928506 4 left_fisheye_image/00000.jpg

5 -0.6010046678 0.7702422602 0.1697758833 0.1292145477 -1.427271118 -0.449428117 -0.5779174857 5 right_fisheye_image/00000.jpg

6 0.6095907398 0.7926438266 0.004689776481 -0.00963847169 -1.751078434 0.2733613381 0.03254991037 1 back_fisheye_image/00001.jpg

7 -0.2099369112 0.6697165373 0.4821840653 -0.5243136276 0.5135024125 -1.832586194 0.3820822324 2 frontleft_fisheye_image/00001.jpg

8 -0.5272060749 0.4600925536 0.6872775663 -0.1949824187 0.524883679 -1.106647609 -1.418570381 3 frontright_fisheye_image/00001.jpg

9 0.4371909546 0.566311734 -0.5516948834 0.4287048458 -0.3263279188 0.7344059951 -1.727641714 4 left_fisheye_image/00001.jpg

10 -0.4395596627 0.5653611532 -0.548945452 -0.4310602743 -0.3287215567 0.1279283964 1.66899489 5 right_fisheye_image/00001.jpg

11 0.6041090402 0.7878495027 0.08865027403 -0.08053916836 -2.005189074 0.1158770104 0.7093531412 1 back_fisheye_image/00002.jpg

12 -0.2712790338 0.6029249329 0.5617588805 -0.4973089294 0.8478680617 -2.371989928 -0.07642373795 2 frontleft_fisheye_image/00002.jpg

13 -0.5454543258 0.3604709726 0.7461423682 -0.1257450705 0.8914026472 -0.9008767959 -2.14204511 3 frontright_fisheye_image/00002.jpg

14 0.4864325217 0.6412781827 -0.4715617857 0.3602432185 -1.133598288 0.8106303309 -1.904151081 4 left_fisheye_image/00002.jpg

15 -0.5006467796 0.6313392662 -0.4612367408 -0.3715160857 -1.125391482 0.1267630934 1.845864036 5 right_fisheye_image/00002.jpg

16 0.2713015435 0.3588569292 0.7102436963 -0.5414527391 1.25881748 -0.0730750868 1.157635234 1 back_fisheye_image/00003.jpg

17 -0.5634217088 -0.1217454614 0.8153162407 -0.05471241509 0.991838622 0.1906185998 -2.10092074 2 frontleft_fisheye_image/00003.jpg

18 -0.415904336 -0.4006628617 0.7236489222 0.3779220713 0.9873296016 2.025260884 -0.7399994116 3 frontright_fisheye_image/00003.jpg

19 0.5786345534 0.7519962569 0.2512040387 -0.1912595465 -1.495334316 -0.04194462322 1.203684585 4 left_fisheye_image/00003.jpg

20 -0.5889049904 0.743492602 0.2508421576 0.1936178579 -1.508620212 -0.6007580808 -1.279571382 5 right_fisheye_image/00003.jpg

21 -0.1699806722 -0.2186162675 0.7640939483 -0.5826439195 1.158735209 0.6430534239 -1.441480749 1 back_fisheye_image/00004.jpg

22 0.4489483427 0.6425816575 -0.5162139351 -0.3450469132 -0.1559500669 1.384407616 0.06896264254 2 frontleft_fisheye_image/00004.jpg

23 0.0481352535 0.7866762584 -0.2592529088 -0.5582216326 -0.1746273921 0.616545333 1.284226852 3 frontright_fisheye_image/00004.jpg

24 0.2926809237 0.3827618163 0.695276591 -0.533312039 1.227216303 -0.008670689648 1.087017268 4 left_fisheye_image/00004.jpg

25 -0.302814511 0.3745044441 0.6900170642 0.5403019938 1.238907619 -0.542945172 -1.155380613 5 right_fisheye_image/00004.jpg

26 -0.2565408901 -0.3287860589 0.7209563673 -0.5534513669 0.266733509 0.6698604728 -1.574087986 1 back_fisheye_image/00005.jpg

27 0.3900211904 0.7196826597 -0.4017421834 -0.4105405686 -0.2209185942 0.6377416331 0.6608773948 2 frontleft_fisheye_image/00005.jpg

28 -0.04287034551 0.8188003938 -0.1261183525 -0.5584104313 -0.2229055166 -0.2385256483 0.9057229112 3 frontright_fisheye_image/00005.jpg

29 0.1940715451 0.2500620989 0.7543087675 -0.5751725527 1.373512512 0.2537125331 0.1370223769 4 left_fisheye_image/00005.jpg

30 -0.197805058 0.2450975492 0.7438836903 0.589438212 1.387831722 -0.3253876647 -0.2129025124 5 right_fisheye_image/00005.jpg

31 0.533211716 0.6954638684 -0.3846498696 0.2899305977 -1.285737295 0.6409985922 -1.393639629 1 back_fisheye_image/00006.jpg

32 0.07211013192 0.8193259055 0.09148966983 -0.561368711 -0.1482489651 -0.7175551601 1.328273285 2 frontleft_fisheye_image/00006.jpg

33 -0.3652262296 0.7362371405 0.3737930114 -0.4299342493 -0.1412873055 -1.447638478 0.000140070629 3 frontright_fisheye_image/00006.jpg

34 -0.1725718073 -0.2235653389 0.7572684409 -0.5888820077 1.276366671 0.6086385694 -1.273807154 4 left_fisheye_image/00006.jpg

35 0.1714584132 -0.2263463937 0.7551840096 0.5908184444 1.285509582 0.03124583102 1.196368736 5 right_fisheye_image/00006.jpg

36 0.59710655 0.7839763448 -0.1351332987 0.1028778417 -2.138053339 0.4606692327 -0.7717896003 1 back_fisheye_image/00007.jpg

37 -0.1167960944 0.7458173739 0.3513712524 -0.5537629096 0.1386147441 -1.766835003 1.215790656 2 frontleft_fisheye_image/00007.jpg

38 -0.4925786863 0.5650613437 0.5996292087 -0.2802083648 0.1776549954 -1.804229871 -1.047773591 3 frontright_fisheye_image/00007.jpg

39 -0.3597954084 -0.4684919098 0.6353158513 -0.4974297575 0.4555627867 0.814172409 -2.095330478 4 left_fisheye_image/00007.jpg

40 0.3713551183 -0.4767456656 0.6271193511 0.4914572881 0.3949039265 0.2304985643 2.031478187 5 right_fisheye_image/00007.jpg

41 0.5913220376 0.7754316834 0.1734131203 -0.1377383095 -1.738849931 -0.1338969067 1.482264168 1 back_fisheye_image/00008.jpg

42 -0.3184384494 0.551642835 0.61173491 -0.4691135645 1.168886049 -2.554570685 -0.8494641631 2 frontleft_fisheye_image/00008.jpg

43 -0.558805685 0.3015372045 0.7683537641 -0.08027461498 1.140854472 -0.4338713649 -2.592210505 3 frontright_fisheye_image/00008.jpg

44 0.5146019263 0.6737629458 -0.4160875005 0.3287849483 -1.550334794 0.724423455 -1.792172334 4 left_fisheye_image/00008.jpg

45 -0.5243653491 0.6672529844 -0.416477742 -0.3261299217 -1.360490798 0.1473289499 1.715737464 5 right_fisheye_image/00008.jpg

46 0.5982896348 0.7764798483 0.1551066038 -0.1227619629 -1.902036136 0.08671182273 0.6843910972 1 back_fisheye_image/00009.jpg

47 -0.3039129962 0.5673459259 0.6010671202 -0.4737866694 0.7928545004 -2.258276744 -0.07071066029 2 frontleft_fisheye_image/00009.jpg

48 -0.5489521558 0.3350446531 0.7597096135 -0.09611406909 0.7875734261 -0.9566978213 -1.95062788 3 frontright_fisheye_image/00009.jpg

49 0.5064269769 0.652393126 -0.4502497465 0.3393966588 -0.8933390902 0.7895714041 -1.860165628 4 left_fisheye_image/00009.jpg

50 -0.4984912852 0.6471228184 -0.441151067 -0.3716506863 -0.7870301778 0.1029885388 1.830644963 5 right_fisheye_image/00009.jpg

