# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 310, mean observations per image: 0
1 0.421935327 0.5535252395 0.5694399581 -0.4373997293 0.1060563136 0.02971221414 0.884411845 1 back_fisheye_image/00000.jpg

2 -0.5216585378 0.1286698349 0.8148748613 -0.217475065 0.876750518 -0.6296529017 -1.260158516 2 frontleft_fisheye_image/00000.jpg

3 -0.5107692927 -0.1652208035 0.8090628472 0.2392365463 0.878233093 0.9035055531 -1.090455182 3 frontright_fisheye_image/00000.jpg

4 0.6118281846 0.7907719612 0.01599652524 -0.009491529911 -1.179490712 0.2632204424 0.1079837829 4 left_fisheye_image/00000.jpg

5 -0.6168246418 0.7868408377 0.01756570714 0.01001515725 -1.165139671 -0.3478937551 -0.1847856373 5 right_fisheye_image/00000.jpg

6 0.4991505367 0.6458310931 0.459712451 -0.3498791267 -0.4059344176 -0.0301064216 1.145278344 1 back_fisheye_image/00001.jpg

7 -0.4708762976 0.2791846854 0.7792348857 -0.3051629348 0.9991061821 -1.191361872 -1.202398174 2 frontleft_fisheye_image/00001.jpg

8 -0.5446502933 -0.009641366704 0.8261027917 0.1442819447 1.014132097 0.5966691699 -1.570299024 3 frontright_fisheye_image/00001.jpg

9 0.6063008173 0.7774686799 -0.132528826 0.1018718854 -1.4581028 0.4064561964 -0.3868899356 4 left_fisheye_image/00001.jpg

10 -0.606097176 0.7777495493 -0.1273499297 -0.1073957507 -1.457776433 -0.2434109978 0.3232054874 5 right_fisheye_image/00001.jpg

11 0.5023306776 0.6584135758 0.4461247237 -0.3393054442 -0.5203747796 -0.111933235 1.369861709 1 back_fisheye_image/00002.jpg

12 -0.4660437627 0.2951768842 0.7703564874 -0.3197259775 1.100776854 -1.428845366 -1.354043387 2 frontleft_fisheye_image/00002.jpg

13 -0.5506633948 0.007692939444 0.8250001502 0.1268282165 1.119966194 0.6296248001 -1.874523889 3 frontright_fisheye_image/00002.jpg

