# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 140, mean observations per image: 0
1 0.4152059466 0.5484507962 0.5725468721 -0.4460894814 0.1656661532 0.0132322455 0.8135977645 1 back_fisheye_image/00000.jpg

2 -0.5227235301 0.659399279 0.4947617242 0.217171679 -0.5562677921 -0.8184351443 -1.253270132 2 frontleft_fisheye_image/00000.jpg

3 -0.1870823737 0.447482729 0.6970842954 0.5280462837 0.9304306848 -0.8195874762 -1.022083769 3 frontright_fisheye_image/00000.jpg

4 0.6076240234 0.7936686415 0.02369579191 -0.01793441115 -1.114930557 0.2155692839 0.156976722 4 left_fisheye_image/00000.jpg

5 -0.01537851981 -0.02764404529 0.7834059285 -0.6207048083 1.100756256 0.328823799 -0.2504733242 5 right_fisheye_image/00000.jpg

6 0.4221822764 0.5441866441 0.5780285406 -0.4376140173 0.1888450174 -0.05779127532 1.08075456 1 back_fisheye_image/00001.jpg

7 -0.5139845517 0.6661723548 0.491535989 0.2245587802 -0.6734699205 -0.9550773017 -1.512088079 2 frontleft_fisheye_image/00001.jpg

8 -0.1812498897 0.4493365217 0.6898162113 0.5379579559 1.110352172 -0.9577174157 -1.244931684 3 frontright_fisheye_image/00001.jpg

9 0.6172325342 0.7861799489 0.02535418385 -0.01738539514 -1.471452065 0.2068803594 0.195959611 4 left_fisheye_image/00001.jpg

10 -0.01827533485 -0.02670485424 0.7895470809 -0.6128362505 1.503264871 0.3372271076 -0.2934343755 5 right_fisheye_image/00001.jpg

11 0.4116822766 0.5361609349 0.5858506344 -0.4470214639 0.292624433 -0.1916469675 1.569181808 1 back_fisheye_image/00002.jpg

12 -0.5134229228 0.6525661085 0.5065454191 0.2323060802 -0.7944368993 -1.16492831 -1.961846547 2 frontleft_fisheye_image/00002.jpg

13 -0.169185437 0.4272425064 0.7066502226 0.5380386525 1.504253056 -1.173720572 -1.539596632 3 frontright_fisheye_image/00002.jpg

14 0.6133792771 0.786809226 0.05434619603 -0.04175638068 -1.946175981 0.159442489 0.4135808721 4 left_fisheye_image/00002.jpg

15 -0.03932018321 -0.05826631026 0.7871389468 -0.6127570797 1.931030943 0.4101777072 -0.5034808148 5 right_fisheye_image/00002.jpg

16 0.1809530142 0.2419225801 0.7562681278 -0.5803343784 1.680892293 0.1192204307 0.3933307077 1 back_fisheye_image/00003.jpg

17 -0.3715725972 0.3801579128 0.732270241 0.4256689564 0.9602683634 -0.6159754427 -1.665651966 2 frontleft_fisheye_image/00003.jpg

18 0.06630172735 0.09999007824 0.8190395979 0.5610527625 1.965108562 -0.5973289857 0.1708747841 3 frontright_fisheye_image/00003.jpg

19 0.5440667894 0.6995828913 0.3664986577 -0.2832910883 -0.5648777897 -0.1511000795 1.62248802 4 left_fisheye_image/00003.jpg

20 -0.2841107042 -0.3686363672 0.696953935 -0.545567181 0.5077286873 0.6979735623 -1.715164616 5 right_fisheye_image/00003.jpg

21 0.1843664608 0.2387652853 0.7579802816 -0.5783303895 1.710314493 0.2337885297 0.03468645027 1 back_fisheye_image/00004.jpg

22 -0.3698724135 0.3825741678 0.7312133661 0.4268002074 1.154075136 -0.4817803345 -1.417579365 2 frontleft_fisheye_image/00004.jpg

23 0.06606961512 0.1011148942 0.8180754185 0.5622839086 1.850599527 -0.4730853542 0.4265333252 3 frontright_fisheye_image/00004.jpg

24 0.5491148997 0.6998037051 0.3620204653 -0.2787270778 -0.3169449241 -0.1523393851 1.663414699 4 left_fisheye_image/00004.jpg

25 -0.2746041792 -0.3560266383 0.7055340216 -0.547776708 0.329491784 0.7105127373 -1.746553747 5 right_fisheye_image/00004.jpg

26 0.4549888264 0.5868395717 0.5369312883 -0.4003864091 0.5005147996 -0.1985875678 1.599849118 1 back_fisheye_image/00005.jpg

27 -0.5356243695 0.6983724626 0.4390994611 0.180482967 -0.6518726582 -1.172743415 -2.094129938 2 frontleft_fisheye_image/00005.jpg

28 -0.224676233 0.5030570631 0.655814554 0.5161021723 1.656685279 -1.202751619 -1.508148077 3 frontright_fisheye_image/00005.jpg

29 0.6122196025 0.7886272554 -0.04594872934 0.03380716738 -2.041529407 0.1469554845 0.4819578619 4 left_fisheye_image/00005.jpg

30 0.03953044245 0.03969789164 0.7869998078 -0.6144043653 2.026973557 0.4327048307 -0.5689686812 5 right_fisheye_image/00005.jpg

31 0.5442190618 0.7133621495 -0.3478970359 0.2718597227 -1.85963047 0.6757158148 -1.712315132 1 back_fisheye_image/00006.jpg

32 -0.3682837965 0.6655012882 -0.48983887 -0.4260668517 -1.075285667 0.3015453775 1.810593735 2 frontleft_fisheye_image/00006.jpg

33 -0.5689980348 0.7914118909 -0.2227819153 -0.01663350885 -2.03275728 0.2917162289 -0.08919786653 3 frontright_fisheye_image/00006.jpg

34 -0.1966448806 -0.2584475931 0.7430139067 -0.5852059184 1.496538412 0.7141028252 -1.797384712 4 left_fisheye_image/00006.jpg

35 0.5802469184 0.7462998134 0.2576486061 -0.1999182285 -1.508726974 -0.1773131798 1.69262221 5 right_fisheye_image/00006.jpg

36 0.5434109585 0.7129152829 -0.3488326144 0.2734449427 -1.546380721 0.6925148035 -1.752688843 1 back_fisheye_image/00007.jpg

37 -0.3653328492 0.667772166 -0.490033241 -0.4248289848 -0.7930784328 0.3181132208 1.672340396 2 frontleft_fisheye_image/00007.jpg

